daily_screen_time,app_opens,sleep_hours,stress_level,study_interruptions,night_usage,addiction_level
1.5,40,3.4,6,11,Yes,Moderate
8.9,50,5.3,10,11,Yes,High
1.4,65,4.5,3,0,No,Moderate
8.0,29,8.0,3,10,Yes,Moderate
11.8,47,8.0,4,8,Yes,Moderate
1.3,80,6.0,9,13,Yes,High
2.1,12,4.3,3,11,Yes,Moderate
3.0,63,3.7,10,10,No,High
4.5,6,6.8,6,10,No,Moderate
2.4,51,9.0,10,7,Yes,Moderate
8.7,57,4.1,5,1,No,Moderate
3.6,44,6.0,2,9,No,Moderate
10.0,70,7.8,1,4,Yes,Moderate
11.6,34,3.9,1,0,Yes,Moderate
6.2,45,6.0,7,7,No,Moderate
6.4,9,9.0,1,15,No,Low
1.8,80,5.0,2,10,No,Moderate
3.5,68,3.0,7,14,No,Moderate
9.1,64,6.2,1,3,No,Moderate
6.9,20,8.0,6,12,Yes,Moderate
4.0,71,8.1,2,8,No,Low
2.7,17,5.3,10,4,Yes,Moderate
10.4,32,7.2,4,13,Yes,Moderate
1.6,18,5.7,5,9,Yes,Moderate
4.2,37,4.8,10,4,Yes,High
6.5,26,7.8,5,11,No,Moderate
8.5,35,4.8,4,9,Yes,High
6.9,38,7.8,4,7,No,Low
6.8,41,7.2,5,15,No,Moderate
10.3,68,5.0,8,1,Yes,High
3.1,73,8.0,8,15,No,Moderate
6.9,44,6.7,6,15,No,Moderate
11.1,77,8.0,1,2,Yes,Moderate
3.0,16,7.3,5,10,Yes,Moderate
1.2,8,7.8,7,5,Yes,Low
5.3,27,7.8,9,7,Yes,Moderate
7.0,67,8.4,1,7,No,Moderate
6.7,28,7.9,9,12,Yes,Moderate
8.2,9,8.5,3,2,Yes,Low
1.5,32,3.6,8,3,Yes,Moderate
11.7,22,3.7,1,4,No,Moderate
8.9,56,6.3,8,4,Yes,High
1.5,25,8.8,4,10,No,Low
3.9,22,3.6,6,2,No,Low
11.5,66,4.9,1,8,No,Moderate
5.6,72,8.0,4,12,No,Moderate
4.7,17,4.1,2,5,Yes,Moderate
3.4,24,6.5,7,14,No,Moderate
6.4,67,5.6,8,6,No,Moderate
9.0,59,8.6,9,10,Yes,High
5.4,7,8.6,8,9,Yes,Moderate
5.3,45,4.7,9,5,Yes,High
8.1,64,5.4,3,0,Yes,Moderate
1.0,69,3.9,8,6,Yes,High
6.5,8,4.6,4,3,No,Low
4.7,34,5.0,5,0,Yes,Moderate
10.8,80,4.2,7,5,No,High
2.9,30,8.8,3,13,No,Low
12.0,76,6.7,3,0,No,Moderate
11.5,79,7.7,3,0,No,Moderate
5.2,29,4.2,4,6,Yes,Moderate
11.2,59,9.0,6,13,No,Moderate
8.5,64,8.1,9,4,No,Moderate
4.2,69,3.8,4,14,No,Moderate
10.4,47,5.9,6,13,No,Moderate
2.7,24,4.3,8,2,No,Moderate
8.0,8,4.6,5,11,Yes,High
10.1,44,3.7,3,14,Yes,High
11.8,51,6.5,2,6,Yes,Moderate
7.1,57,4.7,10,1,No,High
7.1,66,8.1,10,11,No,High
8.6,41,9.0,4,2,No,Low
3.2,53,8.0,7,1,No,Low
1.0,79,6.3,4,6,Yes,Moderate
8.7,50,3.4,3,0,Yes,Moderate
10.7,66,4.9,2,9,No,High
2.3,49,8.7,2,5,No,Low
10.4,15,6.6,9,10,No,Moderate
4.0,78,8.4,3,13,No,Moderate
8.8,56,3.9,5,10,Yes,High
5.3,30,8.4,8,5,No,Moderate
10.8,14,7.7,7,6,No,Moderate
5.3,23,7.6,3,9,Yes,Moderate
2.4,62,5.9,4,12,Yes,Moderate
10.1,17,6.1,10,0,No,Moderate
8.5,55,4.3,8,9,Yes,High
6.9,20,4.8,8,11,Yes,High
10.0,14,7.1,8,10,No,Moderate
9.4,5,3.1,10,15,Yes,High
6.5,76,3.6,1,1,No,Moderate
2.5,21,5.8,2,7,No,Low
2.2,17,4.4,5,15,No,Moderate
6.1,66,3.9,9,11,Yes,High
2.7,64,6.0,9,10,No,Moderate
11.9,79,5.1,8,8,Yes,High
2.2,56,5.7,3,8,No,Moderate
10.0,58,3.9,3,14,No,High
11.3,6,5.8,9,10,No,Moderate
3.3,50,8.3,3,0,No,Low
2.0,14,4.6,9,8,No,Moderate
4.8,11,8.8,6,4,No,Low
4.9,6,3.7,9,14,No,Moderate
3.5,10,6.1,1,12,No,Low
6.0,79,7.3,1,12,Yes,Moderate
1.6,27,3.0,10,7,No,Moderate
3.3,9,4.5,10,5,Yes,Moderate
8.9,44,4.8,2,6,No,Moderate
2.5,5,6.5,9,11,No,Moderate
2.8,17,4.7,6,15,Yes,Moderate
5.5,11,5.4,4,10,Yes,Moderate
1.7,55,9.0,9,3,Yes,Moderate
4.7,25,8.6,7,3,Yes,Low
7.8,34,8.4,4,9,Yes,Moderate
3.8,29,6.0,3,13,No,Moderate
2.7,42,4.8,6,11,Yes,Moderate
9.0,32,5.8,10,11,No,High
11.0,61,6.9,2,12,Yes,High
7.1,21,3.8,7,0,No,Moderate
10.9,36,6.0,9,14,Yes,High
7.0,72,5.2,2,5,Yes,Moderate
7.8,61,5.1,2,2,Yes,Moderate
10.8,14,5.8,6,0,No,Moderate
5.3,55,3.5,6,5,No,Moderate
3.5,60,5.7,10,4,No,Moderate
6.0,62,8.2,7,15,Yes,Moderate
2.1,35,8.9,1,3,No,Low
3.9,75,5.8,4,5,Yes,Moderate
2.0,19,5.3,4,1,Yes,Low
3.4,30,8.8,9,0,Yes,Moderate
4.1,35,6.3,3,12,No,Moderate
6.4,14,8.5,2,9,No,Low
4.9,35,8.9,1,8,No,Low
6.9,8,6.6,7,6,No,Moderate
5.6,72,4.9,7,13,No,High
4.0,33,5.5,5,2,Yes,Moderate
5.1,10,3.8,5,3,No,Moderate
7.3,57,5.1,3,6,Yes,Moderate
6.0,67,4.0,5,7,Yes,High
10.3,15,8.4,3,4,Yes,Moderate
7.2,61,6.0,1,9,Yes,High
1.7,25,7.0,10,1,No,Low
9.3,41,8.0,6,7,No,Moderate
11.1,44,3.6,6,12,Yes,High
4.4,79,5.9,7,2,Yes,Moderate
3.1,40,3.4,8,15,No,Moderate
3.2,38,3.3,3,13,Yes,Moderate
10.4,28,3.4,8,2,No,Moderate
6.2,38,8.6,6,8,Yes,Moderate
5.2,21,5.5,9,3,Yes,Moderate
2.6,52,7.0,10,11,Yes,Moderate
10.1,19,3.8,6,12,Yes,High
11.3,75,8.6,7,12,No,Moderate
8.3,77,7.2,8,10,No,High
6.4,68,3.2,2,7,No,Moderate
9.8,28,4.5,7,2,No,Moderate
7.0,61,3.1,8,4,Yes,High
6.2,20,8.4,2,7,No,Low
1.7,26,8.2,9,7,Yes,Moderate
3.6,39,5.0,10,14,Yes,Moderate
3.3,27,7.5,1,6,Yes,Low
3.5,49,6.3,9,14,Yes,Moderate
5.9,12,8.1,8,7,No,Moderate
3.0,75,4.5,9,4,No,Moderate
10.4,34,4.2,5,13,Yes,High
7.4,71,8.1,3,11,No,Moderate
6.5,21,5.1,7,8,No,Moderate
7.2,39,5.4,4,6,Yes,Moderate
6.9,43,5.5,1,7,Yes,Moderate
10.9,67,5.0,2,14,No,Moderate
7.2,50,8.0,8,11,Yes,High
8.1,15,8.2,9,8,No,Moderate
5.6,62,5.2,9,10,No,High
2.5,53,5.7,4,6,No,Moderate
11.5,63,6.1,4,15,No,Moderate
4.2,33,3.3,9,14,Yes,High
10.8,61,5.8,7,9,Yes,High
9.0,21,6.0,8,11,No,Moderate
8.7,51,8.8,2,6,No,Moderate
10.4,25,5.0,9,8,No,Moderate
5.5,6,7.0,10,15,No,Moderate
10.3,29,4.8,5,1,No,Moderate
4.9,29,4.9,6,12,Yes,High
10.8,24,7.8,10,3,No,Moderate
7.6,12,8.3,7,4,Yes,Moderate
10.4,52,7.6,2,11,Yes,Moderate
3.3,71,7.8,10,12,Yes,Moderate
4.5,69,5.2,1,10,No,Moderate
6.7,65,5.3,7,4,No,Moderate
7.9,63,6.2,9,3,No,Moderate
10.3,59,3.1,4,7,No,Moderate
1.2,73,4.3,7,11,No,Moderate
1.8,63,4.6,8,14,Yes,High
10.0,45,7.6,4,9,Yes,Moderate
8.8,42,4.8,4,7,Yes,Moderate
1.2,22,8.8,2,12,Yes,Low
4.6,37,8.3,5,4,Yes,Moderate
4.5,54,4.5,7,7,No,Moderate
6.3,25,9.0,3,11,No,Low
11.7,33,3.1,10,14,No,High
5.2,55,4.9,4,11,Yes,High
11.8,52,3.2,3,9,Yes,High
9.0,38,5.4,3,6,Yes,Moderate
9.3,54,4.3,9,13,No,High
1.7,18,5.6,4,1,No,Low
2.5,39,6.8,3,0,No,Low
9.1,49,9.0,1,10,No,Moderate
8.6,40,4.3,1,7,Yes,Moderate
2.6,25,8.8,4,4,No,Low
3.6,68,8.4,5,4,No,Moderate
3.8,16,7.9,1,4,Yes,Low
8.7,60,3.5,10,2,No,High
2.3,25,3.9,8,0,Yes,Moderate
2.1,32,6.1,9,4,Yes,Moderate
10.1,6,7.2,2,8,Yes,Moderate
9.0,50,7.2,2,10,Yes,Moderate
8.1,46,8.5,8,11,No,Moderate
3.2,54,9.0,5,10,No,Moderate
10.7,56,6.7,4,0,No,Moderate
10.4,42,7.0,5,15,Yes,Moderate
3.2,50,6.8,2,10,No,Moderate
11.9,41,8.4,7,7,Yes,Moderate
10.0,11,6.1,4,9,No,Moderate
5.1,8,6.1,10,2,No,Moderate
2.3,29,8.0,7,3,Yes,Low
5.1,40,7.4,10,12,No,Moderate
1.5,22,3.8,10,15,No,Moderate
3.8,15,6.6,7,13,Yes,Moderate
2.4,44,7.4,9,4,No,Moderate
3.9,14,8.9,7,14,Yes,Moderate
11.2,57,3.1,10,10,No,High
5.1,37,6.7,7,2,No,Moderate
8.2,68,4.5,9,14,Yes,High
1.7,53,7.1,1,11,Yes,Moderate
7.6,17,7.8,3,13,Yes,Moderate
3.1,14,4.1,6,14,Yes,Moderate
8.6,61,3.3,5,14,No,High
7.2,24,5.2,5,13,No,Moderate
10.5,54,5.9,10,3,No,Moderate
6.4,64,8.9,2,7,Yes,Moderate
6.2,76,7.6,2,14,No,Moderate
11.7,35,6.5,2,1,Yes,Moderate
7.9,27,4.9,10,12,Yes,High
11.3,56,3.6,3,11,No,High
10.0,14,8.7,4,5,No,Low
1.9,25,5.9,7,13,No,Moderate
6.3,37,8.7,4,14,Yes,Moderate
7.1,42,7.2,5,1,Yes,Moderate
11.1,67,4.9,8,13,Yes,High
10.5,41,8.4,6,8,No,Moderate
11.0,72,8.2,10,14,Yes,High
2.7,51,7.5,8,8,No,Moderate
4.9,22,8.9,6,7,No,Low
4.9,80,5.2,3,15,Yes,Moderate
4.8,26,8.9,10,1,Yes,Moderate
7.4,66,5.7,8,5,Yes,High
1.9,24,3.4,9,12,No,Moderate
8.6,35,7.6,2,11,No,Moderate
11.2,40,7.7,7,7,Yes,Moderate
4.3,48,5.8,8,15,No,Moderate
7.0,7,6.4,8,9,Yes,Moderate
3.6,30,6.0,2,2,Yes,Low
11.5,9,3.8,10,4,No,Moderate
5.5,72,3.9,3,11,No,Moderate
7.7,49,8.4,10,15,No,Moderate
6.8,21,5.3,2,15,No,Moderate
3.7,17,5.4,3,10,Yes,Moderate
7.5,24,3.5,2,2,No,Moderate
4.5,27,4.6,8,5,No,Moderate
6.5,23,8.4,6,14,No,Moderate
5.7,28,5.9,8,7,No,Moderate
7.1,34,7.0,10,10,Yes,High
10.6,73,4.7,7,8,No,High
9.9,43,4.4,5,13,No,High
4.7,47,5.2,8,1,No,Moderate
7.8,25,4.4,4,15,Yes,Moderate
6.4,25,7.4,2,12,No,Low
7.6,22,5.3,6,15,Yes,Moderate
6.3,19,5.9,1,6,Yes,Moderate
3.5,5,6.9,7,4,Yes,Moderate
2.0,67,3.4,2,7,No,Moderate
8.5,32,8.0,3,11,Yes,Moderate
11.6,14,8.3,9,12,Yes,Moderate
8.2,8,6.7,8,2,No,Moderate
10.7,59,5.4,3,2,No,Moderate
7.6,65,5.4,9,15,No,High
1.4,58,7.7,8,14,No,Moderate
2.4,6,3.9,9,3,Yes,Moderate
1.5,63,4.9,10,15,No,High
5.7,15,4.9,1,5,No,Moderate
3.1,59,8.3,4,15,Yes,Moderate
4.5,70,3.8,1,12,No,Moderate
5.5,14,3.2,2,4,No,Moderate
4.7,66,4.7,9,15,No,High
7.7,38,4.1,10,3,No,Moderate
1.4,53,7.3,3,12,No,Moderate
1.3,17,5.9,6,0,Yes,Low
5.7,21,8.2,3,2,No,Low
9.9,30,6.6,1,2,Yes,Moderate
1.7,41,7.7,2,12,No,Low
8.0,16,3.5,3,13,No,Moderate
5.2,70,7.5,1,12,Yes,Moderate
11.7,72,6.4,7,3,No,Moderate
5.5,7,5.6,10,8,No,Moderate
10.7,28,5.9,1,1,Yes,Moderate
9.4,68,8.4,6,11,No,Moderate
7.0,14,5.6,5,14,Yes,Moderate
5.8,67,7.1,1,6,No,Moderate
8.5,52,4.2,8,1,Yes,High
8.4,21,6.1,3,8,No,Moderate
3.8,80,6.8,7,12,Yes,Moderate
4.3,70,4.3,3,8,No,Moderate
6.2,9,3.3,9,1,No,Moderate
10.7,43,4.6,2,15,Yes,High
8.1,20,5.6,2,5,Yes,Moderate
1.5,23,7.2,10,14,Yes,Moderate
1.6,29,5.6,6,7,No,Moderate
9.7,24,5.7,10,3,No,Moderate
10.3,11,6.2,8,14,No,Moderate
3.3,70,4.6,7,0,Yes,Moderate
4.9,49,8.6,2,0,No,Low
5.9,45,5.6,5,9,No,Moderate
8.9,17,7.0,10,15,Yes,Moderate
2.2,26,8.7,9,5,Yes,Moderate
6.5,52,4.0,10,3,No,Moderate
2.8,36,7.9,7,15,Yes,Moderate
11.4,33,6.8,3,7,Yes,Moderate
1.0,7,8.3,5,11,Yes,Moderate
6.5,36,3.7,3,0,No,Moderate
2.7,71,5.5,7,7,No,Moderate
3.5,54,5.7,4,6,Yes,Moderate
5.6,57,8.0,2,13,No,Moderate
4.9,78,6.8,3,1,No,Moderate
5.8,43,5.0,6,11,Yes,Moderate
2.3,77,7.5,4,4,No,Low
10.5,73,8.3,1,9,Yes,Moderate
8.4,80,3.3,1,13,No,High
7.8,41,5.2,9,13,Yes,High
2.8,49,6.6,7,9,No,Moderate
6.5,76,5.4,7,3,No,Moderate
6.5,22,6.6,1,5,Yes,Moderate
4.0,40,4.3,8,13,No,Moderate
5.0,27,6.2,10,12,No,Moderate
